Sesi_Eksperimen,pH_St,EC_St,Action,pH_St1,EC_St1,Delta_pH,Delta_EC
Eksplorasi_Sesi_1,7.88,0.0,6,7.5,16.18,-0.38,16.18
Eksplorasi_Sesi_1,7.5,15.75,6,7.28,164.45,-0.22,148.7
Eksplorasi_Sesi_1,7.27,161.58,8,7.28,192.45,0.01,30.87
Eksplorasi_Sesi_1,7.29,191.18,4,6.27,216.83,-1.02,25.65
Eksplorasi_Sesi_1,6.26,215.82,3,6.07,212.0,-0.19,-3.82
Eksplorasi_Sesi_1,6.04,212.91,8,6.05,238.09,0.01,25.18
Eksplorasi_Sesi_1,6.05,239.08,4,5.38,235.18,-0.67,-3.9
Eksplorasi_Sesi_1,5.36,240.0,1,5.71,263.55,0.35,23.55
Eksplorasi_Sesi_1,5.7,278.27,2,6.26,310.5,0.56,32.23
Eksplorasi_Sesi_1,6.26,309.55,8,6.26,338.55,0.0,29.0
Eksplorasi_Sesi_1,6.28,339.45,2,6.67,372.0,0.39,32.55
Eksplorasi_Sesi_1,6.68,389.18,8,6.67,387.82,-0.01,-1.36
Eksplorasi_Sesi_1,6.67,388.58,6,6.61,514.82,-0.06,126.24
Eksplorasi_Sesi_1,6.62,513.0,4,6.23,512.25,-0.39,-0.75
Eksplorasi_Sesi_1,6.21,513.09,8,6.19,511.09,-0.02,-2.0
Eksplorasi_Sesi_1,6.22,512.67,1,6.38,512.09,0.16,-0.58
Eksplorasi_Sesi_1,6.38,514.0,1,6.52,537.18,0.14,23.18
Eksplorasi_Sesi_1,6.51,538.42,5,6.5,628.5,-0.01,90.08
Eksplorasi_Sesi_1,6.49,642.36,7,6.48,712.18,-0.01,69.82
Eksplorasi_Sesi_1,6.48,736.45,5,6.47,785.73,-0.01,49.28
Eksplorasi_Sesi_1,6.47,798.08,1,6.59,811.91,0.12,13.83
Eksplorasi_Sesi_1,6.59,811.92,1,6.72,836.55,0.13,24.63
Eksplorasi_Sesi_1,6.71,836.75,2,6.88,865.18,0.17,28.43
Eksplorasi_Sesi_1,6.87,866.09,7,6.88,867.25,0.01,1.16
Eksplorasi_Sesi_1,6.88,866.27,4,6.67,892.73,-0.21,26.46
Eksplorasi_Sesi_1,6.66,894.5,2,6.8,914.73,0.14,20.23
Eksplorasi_Sesi_1,6.8,916.18,4,6.59,943.42,-0.21,27.24
Eksplorasi_Sesi_1,6.57,940.0,3,6.42,966.17,-0.15,26.17
Eksplorasi_Sesi_1,6.42,962.0,2,6.61,995.27,0.19,33.27
Eksplorasi_Sesi_1,6.58,994.08,7,6.51,990.73,-0.07,-3.35
Eksplorasi_Sesi_1,6.49,991.36,6,6.35,1218.64,-0.14,227.28
Eksplorasi_Sesi_1,6.34,1247.55,5,6.31,1320.55,-0.03,73.0
Eksplorasi_Sesi_1,6.31,1325.82,7,6.3,1348.0,-0.01,22.18
Eksplorasi_Sesi_1,6.31,1351.36,3,6.23,1374.08,-0.08,22.72
Eksplorasi_Sesi_1,6.21,1375.36,1,6.28,1398.33,0.07,22.97
Eksplorasi_Sesi_1,6.28,1399.91,5,6.25,1448.08,-0.03,48.17
Eksplorasi_Sesi_1,6.26,1445.91,4,6.06,1446.45,-0.2,0.54
Eksplorasi_Sesi_1,6.06,1446.75,6,6.01,1553.09,-0.05,106.34
Eksplorasi_Sesi_1,6.01,1551.25,7,6.01,1547.55,0.0,-3.7
Eksplorasi_Sesi_1,6.01,1552.09,8,6.01,1550.64,0.0,-1.45
Eksplorasi_Sesi_1,6.0,1551.5,4,5.8,1545.0,-0.2,-6.5
Eksplorasi_Sesi_1,5.77,1548.45,2,6.01,1570.42,0.24,21.97
Eksplorasi_Sesi_1,6.0,1570.55,5,5.98,1660.0,-0.02,89.45
Eksplorasi_Sesi_1,5.98,1671.64,1,6.03,1743.55,0.05,71.91
Eksplorasi_Sesi_1,6.04,1755.82,5,5.99,1881.55,-0.05,125.73
Eksplorasi_Sesi_1,5.99,1902.55,6,5.92,2070.0,-0.07,167.45
Eksplorasi_Sesi_1,5.94,2077.82,3,5.85,2139.82,-0.09,62.0
Eksplorasi_Sesi_1,5.84,2149.18,3,5.74,2223.91,-0.1,74.73
Eksplorasi_Sesi_1,5.73,2219.09,5,5.7,2295.09,-0.03,76.0
Eksplorasi_Sesi_1,5.69,2280.91,3,5.68,2296.27,-0.01,15.36
Eksplorasi_Sesi_2,6.22,0.0,2,6.7,0.0,0.48,0.0
Eksplorasi_Sesi_2,6.71,0.0,2,7.15,0.0,0.44,0.0
Eksplorasi_Sesi_2,7.14,0.0,8,7.15,3.09,0.01,3.09
Eksplorasi_Sesi_2,7.15,0.0,2,7.6,0.0,0.45,0.0
Eksplorasi_Sesi_2,7.6,0.0,2,8.03,0.73,0.43,0.73
Eksplorasi_Sesi_2,8.02,0.0,3,7.64,0.73,-0.38,0.73
Eksplorasi_Sesi_2,7.64,1.33,1,7.84,1.33,0.2,0.0
Eksplorasi_Sesi_2,7.84,2.18,6,7.57,272.64,-0.27,270.46
Eksplorasi_Sesi_2,7.57,307.92,2,7.79,414.71,0.22,106.79
Eksplorasi_Sesi_2,7.78,443.0,3,7.41,569.45,-0.37,126.45
Eksplorasi_Sesi_2,7.44,618.25,6,7.26,893.55,-0.18,275.3
Eksplorasi_Sesi_2,7.21,867.73,2,7.42,933.83,0.21,66.1
Eksplorasi_Sesi_2,7.4,935.18,7,7.35,963.36,-0.05,28.18
Eksplorasi_Sesi_2,7.33,985.33,8,7.27,1017.64,-0.06,32.31
Eksplorasi_Sesi_2,7.27,1046.36,3,7.16,1089.09,-0.11,42.73
Eksplorasi_Sesi_2,7.14,1105.0,4,6.96,1201.25,-0.18,96.25
Eksplorasi_Sesi_2,6.96,1204.64,8,6.96,1246.82,0.0,42.18
Eksplorasi_Sesi_2,6.96,1239.27,2,7.08,1281.17,0.12,41.9
Eksplorasi_Sesi_2,7.07,1305.45,3,6.99,1369.0,-0.08,63.55
Eksplorasi_Sesi_2,6.99,1367.82,4,6.81,1408.0,-0.18,40.18
Eksplorasi_Sesi_2,6.8,1429.5,1,6.83,1479.33,0.03,49.83
Eksplorasi_Sesi_2,6.82,1455.0,8,6.82,1504.45,0.0,49.45
Eksplorasi_Sesi_2,6.82,1518.5,5,6.8,1603.18,-0.02,84.68
Eksplorasi_Sesi_2,6.81,1605.0,7,6.81,1607.18,0.0,2.18
Eksplorasi_Sesi_2,6.81,1623.73,7,6.81,1640.67,0.0,16.94
Eksplorasi_Sesi_2,6.8,1641.45,6,6.77,1922.73,-0.03,281.28
Eksplorasi_Sesi_2,6.77,1955.67,1,6.81,2091.42,0.04,135.75
Eksplorasi_Sesi_2,6.81,2126.55,5,6.79,2200.83,-0.02,74.28
Eksplorasi_Sesi_2,6.8,2195.36,6,6.77,2243.73,-0.03,48.37
Eksplorasi_Sesi_2,6.78,2209.0,7,6.74,1791.45,-0.04,-417.55
Eksplorasi_Sesi_2,6.74,1789.73,2,6.81,1790.75,0.07,1.02
Eksplorasi_Sesi_2,6.81,1790.82,7,6.82,1789.09,0.01,-1.73
Eksplorasi_Sesi_2,6.82,1786.42,8,6.82,2350.73,0.0,564.31
Eksplorasi_Sesi_2,6.82,2348.18,7,6.8,2347.0,-0.02,-1.18
Eksplorasi_Sesi_2,6.8,2343.55,7,6.79,2345.36,-0.01,1.81
Eksplorasi_Sesi_2,6.79,2350.42,5,6.76,2270.18,-0.03,-80.24
Eksplorasi_Sesi_2,6.76,2048.0,7,6.75,1881.36,-0.01,-166.64
Eksplorasi_Sesi_2,6.75,1881.91,4,6.64,1908.92,-0.11,27.01
Eksplorasi_Sesi_2,6.63,1932.0,8,6.62,1937.64,-0.01,5.64
Eksplorasi_Sesi_2,6.62,1938.27,7,6.6,1969.0,-0.02,30.73
Eksplorasi_Sesi_2,6.59,1965.55,8,6.58,1996.36,-0.01,30.81
Eksplorasi_Sesi_2,6.57,1996.92,4,6.43,2026.91,-0.14,29.99
Eksplorasi_Sesi_2,6.42,2030.27,4,6.27,2055.5,-0.15,25.23
